country_code,country_official_name,country_display_name
SLV,El Salvador,El Salvador
SMR,San Marino,San Marino
SOM,Somalia,Somalia
SRB,Serbia,Serbia
STP,São Tomé and Príncipe,São Tomé and Príncipe
SUR,Suriname,Suriname
SVK,Slovak Republic,Slovak Republic
SVN,Slovenia,Slovenia
SWE,Sweden,Sweden
SWZ,Swaziland,Swaziland
SYC,Seychelles,Seychelles
SYR,Syria,Syria
TCD,Chad,Chad
TGO,Togo,Togo
THA,Thailand,Thailand
TJK,Tajikistan,Tajikistan
TKM,Turkmenistan,Turkmenistan
TLS,Timor-Leste,Timor-Leste
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TUV,Tuvalu,Tuvalu
TWN,Taiwan Province of China,Taiwan
TZA,Tanzania,Tanzania
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
URY,Uruguay,Uruguay
USA,United States,United States
UZB,Uzbekistan,Uzbekistan
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines
VEN,Venezuela,Venezuela
VNM,Vietnam,Vietnam
VUT,Vanuatu,Vanuatu
WSM,Samoa,Samoa
YEM,Yemen,Yemen
ZAF,South Africa,South Africa
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
